STT,Data type,api,class,function,times,desciption,Sub-Data type
1,Connection,android.bluetooth,android.bluetooth.BluetoothProfile,A2DP,9354,A2DP profile.,Bluetooth
2,Connection,android.bluetooth,android.bluetooth.BluetoothProfile,EXTRA_PREVIOUS_STATE,9354,Extra for the connection state intents of the individual profiles.,Bluetooth
3,Connection,android.bluetooth,android.bluetooth.BluetoothProfile,EXTRA_STATE,9354,Extra for the connection state intents of the individual profiles.,Bluetooth
4,Connection,android.bluetooth,android.bluetooth.BluetoothProfile,GATT,9354,GATT,Bluetooth
5,Connection,android.bluetooth,android.bluetooth.BluetoothProfile,GATT_SERVER,9354,GATT_SERVER,Bluetooth
6,Connection,android.bluetooth,android.bluetooth.BluetoothProfile,HEADSET,9354,Headset and Handsfree profile,Bluetooth
7,Connection,android.bluetooth,android.bluetooth.BluetoothProfile,HEALTH,9354,"This constant was deprecated in API level 29. Health Device Profile (HDP) and MCAP protocol are no longer used. New apps should use Bluetooth Low Energy based solutions such as BluetoothGatt, BluetoothAdapter#listenUsingL2capChannel(), or BluetoothDevice#createL2capChannel(int)",Bluetooth
8,Connection,android.bluetooth,android.bluetooth.BluetoothProfile,HEARING_AID,9354,Hearing Aid Device,Bluetooth
9,Connection,android.bluetooth,android.bluetooth.BluetoothProfile,HID_DEVICE,9354,HID Device,Bluetooth
10,Connection,android.bluetooth,android.bluetooth.BluetoothProfile,SAP,9354,STATE_CONNECTED,Bluetooth
11,Connection,android.bluetooth,android.bluetooth.BluetoothProfile,STATE_CONNECTING,9354,The profile is in connecting state,Bluetooth
12,Connection,android.bluetooth,android.bluetooth.BluetoothProfile,STATE_DISCONNECTED,9354,The profile is in disconnected state,Bluetooth
13,Connection,android.bluetooth,android.bluetooth.BluetoothProfile,STATE_DISCONNECTING,9354,The profile is in disconnecting state,Bluetooth
14,Connection,android.bluetooth,android.bluetooth.BluetoothProfile,getConnectedDevices(),9354,Get connected devices for this specific profile.,Bluetooth
15,Connection,android.bluetooth,android.bluetooth.BluetoothProfile,getConnectionState(BluetoothDevice device),9354,Get the current connection state of the profilesRequires Manifest.permission.BLUETOOTH,Bluetooth
16,Connection,android.bluetooth,android.bluetooth.BluetoothProfile,getDevicesMatchingConnectionStates(int[] states),9354,Get a list of devices that match any of the given connection states.,Bluetooth
17,Connection,android.bluetooth,android.bluetooth.BluetoothProfile.ServiceListener,"onServiceConnected(int profile, BluetoothProfile proxy)",9354,Called to notify the client when the proxy object has been connected to the service.,Bluetooth
18,Connection,android.bluetooth,android.bluetooth.BluetoothProfile.ServiceListener,onServiceDisconnected(int profile),9354,Called to notify the client that this proxy object has been disconnected from the service.,Bluetooth
19,Connection,android.bluetooth,android.bluetooth.BluetoothA2dp,ACTION_CONNECTION_STATE_CHANGED,9354,Intent used to broadcast the change in connection state of the A2DP profile.,Bluetooth
20,Connection,android.bluetooth,android.bluetooth.BluetoothA2dp,ACTION_PLAYING_STATE_CHANGED,9354,Intent used to broadcast the change in the Playing state of the A2DP profile.,Bluetooth
21,Connection,android.bluetooth,android.bluetooth.BluetoothA2dp,STATE_NOT_PLAYING,9354,A2DP sink device is NOT streaming music.,Bluetooth
22,Connection,android.bluetooth,android.bluetooth.BluetoothA2dp,STATE_PLAYING,9354,A2DP sink device is streaming music.,Bluetooth
23,Connection,android.bluetooth,android.bluetooth.BluetoothA2dp,finalize(),9354,Called by the garbage collector on an object when garbage collection determines that there are no more references to the object.,Bluetooth
24,Connection,android.bluetooth,android.bluetooth.BluetoothA2dp,getConnectionState(BluetoothDevice device),9354,Get the current connection state of the profile. Requires Manifest.permission.BLUETOOTH,Bluetooth
25,Connection,android.bluetooth,android.bluetooth.BluetoothA2dp,isA2dpPlaying(BluetoothDevice device),9354,Check if A2DP profile is streaming music.,Bluetooth
26,Connection,android.bluetooth,android.bluetooth.BluetoothAdapter,ACTION_CONNECTION_STATE_CHANGED,9354,Intent used to broadcast the change in connection state of the local Bluetooth adapter to a profile of the remote device.,Bluetooth
27,Connection,android.bluetooth,android.bluetooth.BluetoothAdapter,ACTION_DISCOVERY_FINISHED,9354,Broadcast Action: The local Bluetooth adapter has finished the device discovery process.,Bluetooth
28,Connection,android.bluetooth,android.bluetooth.BluetoothAdapter,ACTION_DISCOVERY_STARTED,9354,Broadcast Action: The local Bluetooth adapter has started the remote device discovery process.,Bluetooth
29,Connection,android.bluetooth,android.bluetooth.BluetoothAdapter,ACTION_LOCAL_NAME_CHANGED,9354,Broadcast Action: The local Bluetooth adapter has changed its friendly Bluetooth name.,Bluetooth
30,Connection,android.bluetooth,android.bluetooth.BluetoothAdapter,ACTION_REQUEST_DISCOVERABLE,9354,Activity Action: Show a system activity that requests discoverable mode.,Bluetooth
31,Connection,android.bluetooth,android.bluetooth.BluetoothAdapter,ACTION_REQUEST_ENABLE,9354,Activity Action: Show a system activity that allows the user to turn on Bluetooth.,Bluetooth
32,Connection,android.bluetooth,android.bluetooth.BluetoothAdapter,ACTION_SCAN_MODE_CHANGED,9354,Broadcast Action: Indicates the Bluetooth scan mode of the local Adapter has changed.,Bluetooth
33,Connection,android.bluetooth,android.bluetooth.BluetoothAdapter,ACTION_STATE_CHANGED,9354,Broadcast Action: The state of the local Bluetooth adapter has been changed.,Bluetooth
34,Connection,android.bluetooth,android.bluetooth.BluetoothAdapter,ERROR,9354,Sentinel error value for this class.,Bluetooth
35,Connection,android.bluetooth,android.bluetooth.BluetoothAdapter,EXTRA_CONNECTION_STATE,9354,Extra used by ACTION_CONNECTION_STATE_CHANGED This extra represents the current connection state.,Bluetooth
36,Connection,android.bluetooth,android.bluetooth.BluetoothAdapter,EXTRA_DISCOVERABLE_DURATION,9354,Used as an optional int extra field in ACTION_REQUEST_DISCOVERABLE intents to request a specific duration for discoverability in seconds.,Bluetooth
37,Connection,android.bluetooth,android.bluetooth.BluetoothAdapter,EXTRA_LOCAL_NAME,9354,Used as a String extra field in ACTION_LOCAL_NAME_CHANGED intents to request the local Bluetooth name.,Bluetooth
38,Connection,android.bluetooth,android.bluetooth.BluetoothAdapter,EXTRA_PREVIOUS_CONNECTION_STATE,9354,Extra used by ACTION_CONNECTION_STATE_CHANGED This extra represents the previous connection state.,Bluetooth
39,Connection,android.bluetooth,android.bluetooth.BluetoothAdapter,EXTRA_PREVIOUS_SCAN_MODE,9354,Used as an int extra field in ACTION_SCAN_MODE_CHANGED intents to request the previous scan mode.,Bluetooth
40,Connection,android.bluetooth,android.bluetooth.BluetoothAdapter,EXTRA_PREVIOUS_STATE,9354,Used as an int extra field in ACTION_STATE_CHANGED intents to request the previous power state.,Bluetooth
41,Connection,android.bluetooth,android.bluetooth.BluetoothAdapter,EXTRA_SCAN_MODE,9354,Used as an int extra field in ACTION_SCAN_MODE_CHANGED intents to request the current scan mode.,Bluetooth
42,Connection,android.bluetooth,android.bluetooth.BluetoothAdapter,EXTRA_STATE,9354,Used as an int extra field in ACTION_STATE_CHANGED intents to request the current power state.,Bluetooth
43,Connection,android.bluetooth,android.bluetooth.BluetoothAdapter,SCAN_MODE_CONNECTABLE,9354,"Indicates that inquiry scan is disabled, but page scan is enabled on the local Bluetooth adapter.",Bluetooth
44,Connection,android.bluetooth,android.bluetooth.BluetoothAdapter,SCAN_MODE_CONNECTABLE_DISCOVERABLE,9354,Indicates that both inquiry scan and page scan are enabled on the local Bluetooth adapter.,Bluetooth
45,Connection,android.bluetooth,android.bluetooth.BluetoothAdapter,SCAN_MODE_NONE,9354,Indicates that both inquiry scan and page scan are disabled on the local Bluetooth adapter.,Bluetooth
46,Connection,android.bluetooth,android.bluetooth.BluetoothAdapter,STATE_CONNECTED,9354,The profile is in connected state,Bluetooth
47,Connection,android.bluetooth,android.bluetooth.BluetoothAdapter,STATE_OFF,9354,Indicates the local Bluetooth adapter is off.,Bluetooth
48,Connection,android.bluetooth,android.bluetooth.BluetoothAdapter,STATE_ON,9354,"Indicates the local Bluetooth adapter is on, and ready for use.",Bluetooth
49,Connection,android.bluetooth,android.bluetooth.BluetoothAdapter,STATE_TURNING_OFF,9354,Indicates the local Bluetooth adapter is turning off.,Bluetooth
50,Connection,android.bluetooth,android.bluetooth.BluetoothAdapter,STATE_TURNING_ON,9354,Indicates the local Bluetooth adapter is turning on.,Bluetooth
51,Connection,android.bluetooth,android.bluetooth.BluetoothAdapter,cancelDiscovery(),9354,Cancel the current device discovery process.,Bluetooth
52,Connection,android.bluetooth,android.bluetooth.BluetoothAdapter,checkBluetoothAddress(String address),9354,"Validate a String Bluetooth address, such as ""00:43:A8:23:10:F0"". Alphabetic characters must be uppercase to be valid.",Bluetooth
53,Connection,android.bluetooth,android.bluetooth.BluetoothAdapter,"closeProfileProxy(int profile, BluetoothProfile proxy)",9354,Close the connection of the profile proxy to the Service.,Bluetooth
54,Connection,android.bluetooth,android.bluetooth.BluetoothAdapter,disable(),9354,Turn off the local Bluetooth adapter—do not use without explicit user action to turn off Bluetooth.,Bluetooth
55,Connection,android.bluetooth,android.bluetooth.BluetoothAdapter,enable(),9354,Turn on the local Bluetooth adapter—do not use without explicit user action to turn on Bluetooth.,Bluetooth
56,Connection,android.bluetooth,android.bluetooth.BluetoothAdapter,getAddress(),9354,Returns the hardware address of the local Bluetooth adapter.,Bluetooth
57,Connection,android.bluetooth,android.bluetooth.BluetoothAdapter,getBluetoothLeAdvertiser(),9354,Returns a BluetoothLeAdvertiser object for Bluetooth LE Advertising operations.,Bluetooth
58,Connection,android.bluetooth,android.bluetooth.BluetoothAdapter,getBluetoothLeScanner(),9354,Returns a BluetoothLeScanner object for Bluetooth LE scan operations.,Bluetooth
59,Connection,android.bluetooth,android.bluetooth.BluetoothAdapter,getBondedDevices(),9354,Return the set of BluetoothDevice objects that are bonded (paired) to the local adapter.,Bluetooth
60,Connection,android.bluetooth,android.bluetooth.BluetoothAdapter,getDefaultAdapter(),9354,Get a handle to the default local Bluetooth adapter.,Bluetooth
61,Connection,android.bluetooth,android.bluetooth.BluetoothAdapter,getLeMaximumAdvertisingDataLength(),9354,"Return the maximum LE advertising data length in bytes, if LE Extended Advertising feature is supported, 0 otherwise.",Bluetooth
62,Connection,android.bluetooth,android.bluetooth.BluetoothAdapter,getName(),9354,Get the friendly Bluetooth name of the local Bluetooth adapter.,Bluetooth
63,Connection,android.bluetooth,android.bluetooth.BluetoothAdapter,getProfileConnectionState(int profile),9354,Get the current connection state of a profile.,Bluetooth
64,Connection,android.bluetooth,android.bluetooth.BluetoothAdapter,"getProfileProxy(Context context, BluetoothProfile.ServiceListener listener, int profile)",9354,Get the profile proxy object associated with the profile.,Bluetooth
65,Connection,android.bluetooth,android.bluetooth.BluetoothAdapter,getRemoteDevice(byte[] address),9354,Get a BluetoothDevice object for the given Bluetooth hardware address.,Bluetooth
66,Connection,android.bluetooth,android.bluetooth.BluetoothAdapter,getRemoteDevice(String address),9354,Get a BluetoothDevice object for the given Bluetooth hardware address.,Bluetooth
67,Connection,android.bluetooth,android.bluetooth.BluetoothAdapter,getScanMode(),9354,Get the current Bluetooth scan mode of the local Bluetooth adapter.,Bluetooth
68,Connection,android.bluetooth,android.bluetooth.BluetoothAdapter,getState(),9354,Get the current state of the local Bluetooth adapter.,Bluetooth
69,Connection,android.bluetooth,android.bluetooth.BluetoothAdapter,isDiscovering(),9354,Return true if the local Bluetooth adapter is currently in the device discovery process.,Bluetooth
70,Connection,android.bluetooth,android.bluetooth.BluetoothAdapter,isEnabled(),9354,Return true if Bluetooth is currently enabled and ready for use.,Bluetooth
71,Connection,android.bluetooth,android.bluetooth.BluetoothAdapter,isLe2MPhySupported(),9354,Return true if LE 2M PHY feature is supported.,Bluetooth
72,Connection,android.bluetooth,android.bluetooth.BluetoothAdapter,isLeCodedPhySupported(),9354,Return true if LE Coded PHY feature is supported.,Bluetooth
73,Connection,android.bluetooth,android.bluetooth.BluetoothAdapter,isLeExtendedAdvertisingSupported(),9354,Return true if LE Extended Advertising feature is supported.,Bluetooth
74,Connection,android.bluetooth,android.bluetooth.BluetoothAdapter,isLePeriodicAdvertisingSupported(),9354,Return true if LE Periodic Advertising feature is supported.,Bluetooth
75,Connection,android.bluetooth,android.bluetooth.BluetoothAdapter,isMultipleAdvertisementSupported(),9354,Return true if the multi advertisement is supported by the chipset,Bluetooth
76,Connection,android.bluetooth,android.bluetooth.BluetoothAdapter,isOffloadedFilteringSupported(),9354,Return true if offloaded filters are supported,Bluetooth
77,Connection,android.bluetooth,android.bluetooth.BluetoothAdapter,isOffloadedScanBatchingSupported(),9354,Return true if offloaded scan batching is supported,Bluetooth
78,Connection,android.bluetooth,android.bluetooth.BluetoothAdapter,listenUsingInsecureL2capChannel(),9354,Create an insecure L2CAP Connection-oriented Channel (CoC) BluetoothServerSocket and assign a dynamic PSM value.,Bluetooth
79,Connection,android.bluetooth,android.bluetooth.BluetoothAdapter,"listenUsingInsecureRfcommWithServiceRecord(String name, UUID uuid)",9354,"Create a listening, insecure RFCOMM Bluetooth socket with Service Record.",Bluetooth
80,Connection,android.bluetooth,android.bluetooth.BluetoothAdapter,listenUsingL2capChannel(),9354,Create a secure L2CAP Connection-oriented Channel (CoC) BluetoothServerSocket and assign a dynamic protocol/service multiplexer (PSM) value.,Bluetooth
81,Connection,android.bluetooth,android.bluetooth.BluetoothAdapter,"listenUsingRfcommWithServiceRecord(String name, UUID uuid)",9354,"Create a listening, secure RFCOMM Bluetooth socket with Service Record.",Bluetooth
82,Connection,android.bluetooth,android.bluetooth.BluetoothAdapter,setName(String name),9354,Set the friendly Bluetooth name of the local Bluetooth adapter.,Bluetooth
83,Connection,android.bluetooth,android.bluetooth.BluetoothAdapter,startDiscovery(),9354,Start the remote device discovery process.,Bluetooth
84,Connection,android.bluetooth,android.bluetooth.BluetoothAdapter,"startLeScan(UUID[] serviceUuids, BluetoothAdapter.LeScanCallback callback)",9354,"This method was deprecated in API level 21. use BluetoothLeScanner#startScan(List, ScanSettings, ScanCallback) instead.",Bluetooth
85,Connection,android.bluetooth,android.bluetooth.BluetoothAdapter,startLeScan(BluetoothAdapter.LeScanCallback callback),9354,"This method was deprecated in API level 21. use BluetoothLeScanner#startScan(List, ScanSettings, ScanCallback) instead.",Bluetooth
86,Connection,android.bluetooth,android.bluetooth.BluetoothAdapter,stopLeScan(BluetoothAdapter.LeScanCallback callback),9354,This method was deprecated in API level 21. Use BluetoothLeScanner#stopScan(ScanCallback) instead.,Bluetooth
87,Connection,android.bluetooth,android.bluetooth.BluetoothAssignedNumbers,AAMP_OF_AMERICA,9354,,Bluetooth
88,Connection,android.bluetooth,android.bluetooth.BluetoothAssignedNumbers,ACCEL_SEMICONDUCTOR,9354,,Bluetooth
89,Connection,android.bluetooth,android.bluetooth.BluetoothAssignedNumbers,ACE_SENSOR,9354,,Bluetooth
90,Connection,android.bluetooth,android.bluetooth.BluetoothAssignedNumbers,ADIDAS,9354,,Bluetooth
91,Connection,android.bluetooth,android.bluetooth.BluetoothAssignedNumbers,ADVANCED_PANMOBIL_SYSTEMS,9354,,Bluetooth
92,Connection,android.bluetooth,android.bluetooth.BluetoothAssignedNumbers,AIROHA_TECHNOLOGY,9354,,Bluetooth
93,Connection,android.bluetooth,android.bluetooth.BluetoothAssignedNumbers,ALCATEL,9354,,Bluetooth
94,Connection,android.bluetooth,android.bluetooth.BluetoothAssignedNumbers,ALPWISE,9354,,Bluetooth
95,Connection,android.bluetooth,android.bluetooth.BluetoothAssignedNumbers,AMICCOM_ELECTRONICS,9354,,Bluetooth
96,Connection,android.bluetooth,android.bluetooth.BluetoothAssignedNumbers,APLIX,9354,,Bluetooth
97,Connection,android.bluetooth,android.bluetooth.BluetoothAssignedNumbers,APPLE,9354,,Bluetooth
98,Connection,android.bluetooth,android.bluetooth.BluetoothAssignedNumbers,APT_LICENSING,9354,,Bluetooth
99,Connection,android.bluetooth,android.bluetooth.BluetoothAssignedNumbers,ARCHOS,9354,,Bluetooth
100,Connection,android.bluetooth,android.bluetooth.BluetoothAssignedNumbers,ARP_DEVICES,9354,,Bluetooth
101,Connection,android.bluetooth,android.bluetooth.BluetoothAssignedNumbers,ATHEROS_COMMUNICATIONS,9354,,Bluetooth
102,Connection,android.bluetooth,android.bluetooth.BluetoothAssignedNumbers,ATMEL,9354,,Bluetooth
103,Connection,android.bluetooth,android.bluetooth.BluetoothAssignedNumbers,AUSTCO_COMMUNICATION_SYSTEMS,9354,,Bluetooth
104,Connection,android.bluetooth,android.bluetooth.BluetoothAssignedNumbers,AUTONET_MOBILE,9354,,Bluetooth
105,Connection,android.bluetooth,android.bluetooth.BluetoothAssignedNumbers,AVAGO,9354,,Bluetooth
106,Connection,android.bluetooth,android.bluetooth.BluetoothAssignedNumbers,AVM_BERLIN,9354,,Bluetooth
107,Connection,android.bluetooth,android.bluetooth.BluetoothAssignedNumbers,A_AND_D_ENGINEERING,9354,,Bluetooth
108,Connection,android.bluetooth,android.bluetooth.BluetoothAssignedNumbers,A_AND_R_CAMBRIDGE,9354,,Bluetooth
109,Connection,android.bluetooth,android.bluetooth.BluetoothAssignedNumbers,BANDSPEED,9354,,Bluetooth
110,Connection,android.bluetooth,android.bluetooth.BluetoothAssignedNumbers,BAND_XI_INTERNATIONAL,9354,,Bluetooth
111,Connection,android.bluetooth,android.bluetooth.BluetoothAssignedNumbers,BDE_TECHNOLOGY,9354,,Bluetooth
112,Connection,android.bluetooth,android.bluetooth.BluetoothAssignedNumbers,BEATS_ELECTRONICS,9354,,Bluetooth
113,Connection,android.bluetooth,android.bluetooth.BluetoothAssignedNumbers,BEAUTIFUL_ENTERPRISE,9354,,Bluetooth
114,Connection,android.bluetooth,android.bluetooth.BluetoothAssignedNumbers,BEKEY,9354,,Bluetooth
115,Connection,android.bluetooth,android.bluetooth.BluetoothAssignedNumbers,BELKIN_INTERNATIONAL,9354,,Bluetooth
116,Connection,android.bluetooth,android.bluetooth.BluetoothAssignedNumbers,BINAURIC,9354,,Bluetooth
117,Connection,android.bluetooth,android.bluetooth.BluetoothAssignedNumbers,BIOSENTRONICS,9354,,Bluetooth
118,Connection,android.bluetooth,android.bluetooth.BluetoothAssignedNumbers,BLUEGIGA,9354,,Bluetooth
119,Connection,android.bluetooth,android.bluetooth.BluetoothAssignedNumbers,BLUERADIOS,9354,,Bluetooth
120,Connection,android.bluetooth,android.bluetooth.BluetoothAssignedNumbers,BLUETOOTH_SIG,9354,,Bluetooth
121,Connection,android.bluetooth,android.bluetooth.BluetoothAssignedNumbers,BLUETREK_TECHNOLOGIES,9354,,Bluetooth
122,Connection,android.bluetooth,android.bluetooth.BluetoothAssignedNumbers,BOSE,9354,,Bluetooth
123,Connection,android.bluetooth,android.bluetooth.BluetoothAssignedNumbers,BRIARTEK,9354,,Bluetooth
124,Connection,android.bluetooth,android.bluetooth.BluetoothAssignedNumbers,BROADCOM,9354,,Bluetooth
125,Connection,android.bluetooth,android.bluetooth.BluetoothAssignedNumbers,CAEN_RFID,9354,,Bluetooth
126,Connection,android.bluetooth,android.bluetooth.BluetoothAssignedNumbers,CAMBRIDGE_SILICON_RADIO,9354,,Bluetooth
127,Connection,android.bluetooth,android.bluetooth.BluetoothAssignedNumbers,CATC,9354,,Bluetooth
128,Connection,android.bluetooth,android.bluetooth.BluetoothAssignedNumbers,CINETIX,9354,,Bluetooth
129,Connection,android.bluetooth,android.bluetooth.BluetoothAssignedNumbers,CLARINOX_TECHNOLOGIES,9354,,Bluetooth
130,Connection,android.bluetooth,android.bluetooth.BluetoothAssignedNumbers,COLORFY,9354,,Bluetooth
131,Connection,android.bluetooth,android.bluetooth.BluetoothAssignedNumbers,COMMIL,9354,,Bluetooth
132,Connection,android.bluetooth,android.bluetooth.BluetoothAssignedNumbers,CONEXANT_SYSTEMS,9354,,Bluetooth
133,Connection,android.bluetooth,android.bluetooth.BluetoothAssignedNumbers,CONNECTBLUE,9354,,Bluetooth
134,Connection,android.bluetooth,android.bluetooth.BluetoothAssignedNumbers,CONTINENTAL_AUTOMOTIVE,9354,,Bluetooth
135,Connection,android.bluetooth,android.bluetooth.BluetoothAssignedNumbers,CONWISE_TECHNOLOGY,9354,,Bluetooth
136,Connection,android.bluetooth,android.bluetooth.BluetoothAssignedNumbers,CREATIVE_TECHNOLOGY,9354,,Bluetooth
137,Connection,android.bluetooth,android.bluetooth.BluetoothAssignedNumbers,C_TECHNOLOGIES,9354,,Bluetooth
138,Connection,android.bluetooth,android.bluetooth.BluetoothAssignedNumbers,DANLERS,9354,,Bluetooth
139,Connection,android.bluetooth,android.bluetooth.BluetoothAssignedNumbers,DELORME_PUBLISHING_COMPANY,9354,,Bluetooth
140,Connection,android.bluetooth,android.bluetooth.BluetoothAssignedNumbers,DEXCOM,9354,,Bluetooth
141,Connection,android.bluetooth,android.bluetooth.BluetoothAssignedNumbers,DIALOG_SEMICONDUCTOR,9354,,Bluetooth
142,Connection,android.bluetooth,android.bluetooth.BluetoothAssignedNumbers,DIGIANSWER,9354,,Bluetooth
143,Connection,android.bluetooth,android.bluetooth.BluetoothAssignedNumbers,ECLIPSE,9354,,Bluetooth
144,Connection,android.bluetooth,android.bluetooth.BluetoothAssignedNumbers,ECOTEST,9354,,Bluetooth
145,Connection,android.bluetooth,android.bluetooth.BluetoothAssignedNumbers,ELGATO_SYSTEMS,9354,,Bluetooth
146,Connection,android.bluetooth,android.bluetooth.BluetoothAssignedNumbers,EM_MICROELECTRONIC_MARIN,9354,,Bluetooth
147,Connection,android.bluetooth,android.bluetooth.BluetoothAssignedNumbers,EQUINOX_AG,9354,,Bluetooth
148,Connection,android.bluetooth,android.bluetooth.BluetoothAssignedNumbers,ERICSSON_TECHNOLOGY,9354,,Bluetooth
149,Connection,android.bluetooth,android.bluetooth.BluetoothAssignedNumbers,EVLUMA,9354,,Bluetooth
150,Connection,android.bluetooth,android.bluetooth.BluetoothAssignedNumbers,FREE2MOVE,9354,,Bluetooth
151,Connection,android.bluetooth,android.bluetooth.BluetoothAssignedNumbers,FUNAI_ELECTRIC,9354,,Bluetooth
152,Connection,android.bluetooth,android.bluetooth.BluetoothAssignedNumbers,GARMIN_INTERNATIONAL,9354,,Bluetooth
153,Connection,android.bluetooth,android.bluetooth.BluetoothAssignedNumbers,GCT_SEMICONDUCTOR,9354,,Bluetooth
154,Connection,android.bluetooth,android.bluetooth.BluetoothAssignedNumbers,GELO,9354,,Bluetooth
155,Connection,android.bluetooth,android.bluetooth.BluetoothAssignedNumbers,GENEQ,9354,,Bluetooth
156,Connection,android.bluetooth,android.bluetooth.BluetoothAssignedNumbers,GENERAL_MOTORS,9354,,Bluetooth
157,Connection,android.bluetooth,android.bluetooth.BluetoothAssignedNumbers,GENNUM,9354,,Bluetooth
158,Connection,android.bluetooth,android.bluetooth.BluetoothAssignedNumbers,GEOFORCE,9354,,Bluetooth
159,Connection,android.bluetooth,android.bluetooth.BluetoothAssignedNumbers,GIBSON_GUITARS,9354,,Bluetooth
160,Connection,android.bluetooth,android.bluetooth.BluetoothAssignedNumbers,GN_NETCOM,9354,,Bluetooth
161,Connection,android.bluetooth,android.bluetooth.BluetoothAssignedNumbers,GN_RESOUND,9354,,Bluetooth
162,Connection,android.bluetooth,android.bluetooth.BluetoothAssignedNumbers,GOOGLE,9354,,Bluetooth
163,Connection,android.bluetooth,android.bluetooth.BluetoothAssignedNumbers,GREEN_THROTTLE_GAMES,9354,,Bluetooth
164,Connection,android.bluetooth,android.bluetooth.BluetoothAssignedNumbers,GROUP_SENSE,9354,,Bluetooth
165,Connection,android.bluetooth,android.bluetooth.BluetoothAssignedNumbers,HANLYNN_TECHNOLOGIES,9354,,Bluetooth
166,Connection,android.bluetooth,android.bluetooth.BluetoothAssignedNumbers,HARMAN_INTERNATIONAL,9354,,Bluetooth
167,Connection,android.bluetooth,android.bluetooth.BluetoothAssignedNumbers,HEWLETT_PACKARD,9354,,Bluetooth
168,Connection,android.bluetooth,android.bluetooth.BluetoothAssignedNumbers,HITACHI,9354,,Bluetooth
169,Connection,android.bluetooth,android.bluetooth.BluetoothAssignedNumbers,HOSIDEN,9354,,Bluetooth
170,Connection,android.bluetooth,android.bluetooth.BluetoothAssignedNumbers,IBM,9354,,Bluetooth
171,Connection,android.bluetooth,android.bluetooth.BluetoothAssignedNumbers,INFINEON_TECHNOLOGIES,9354,,Bluetooth
172,Connection,android.bluetooth,android.bluetooth.BluetoothAssignedNumbers,INGENIEUR_SYSTEMGRUPPE_ZAHN,9354,,Bluetooth
173,Connection,android.bluetooth,android.bluetooth.BluetoothAssignedNumbers,INTEGRATED_SILICON_SOLUTION,9354,,Bluetooth
174,Connection,android.bluetooth,android.bluetooth.BluetoothAssignedNumbers,INTEGRATED_SYSTEM_SOLUTION,9354,,Bluetooth
175,Connection,android.bluetooth,android.bluetooth.BluetoothAssignedNumbers,INTEL,9354,,Bluetooth
176,Connection,android.bluetooth,android.bluetooth.BluetoothAssignedNumbers,INVENTEL,9354,,Bluetooth
177,Connection,android.bluetooth,android.bluetooth.BluetoothAssignedNumbers,IPEXTREME,9354,,Bluetooth
178,Connection,android.bluetooth,android.bluetooth.BluetoothAssignedNumbers,I_TECH_DYNAMIC_GLOBAL_DISTRIBUTION,9354,,Bluetooth
179,Connection,android.bluetooth,android.bluetooth.BluetoothAssignedNumbers,JAWBONE,9354,,Bluetooth
180,Connection,android.bluetooth,android.bluetooth.BluetoothAssignedNumbers,JIANGSU_TOPPOWER_AUTOMOTIVE_ELECTRONICS,9354,,Bluetooth
181,Connection,android.bluetooth,android.bluetooth.BluetoothAssignedNumbers,JOHNSON_CONTROLS,9354,,Bluetooth
182,Connection,android.bluetooth,android.bluetooth.BluetoothAssignedNumbers,J_AND_M,9354,,Bluetooth
183,Connection,android.bluetooth,android.bluetooth.BluetoothAssignedNumbers,KAWANTECH,9354,,Bluetooth
184,Connection,android.bluetooth,android.bluetooth.BluetoothAssignedNumbers,KC_TECHNOLOGY,9354,,Bluetooth
185,Connection,android.bluetooth,android.bluetooth.BluetoothAssignedNumbers,KENSINGTON_COMPUTER_PRODUCTS_GROUP,9354,,Bluetooth
186,Connection,android.bluetooth,android.bluetooth.BluetoothAssignedNumbers,LAIRD_TECHNOLOGIES,9354,,Bluetooth
187,Connection,android.bluetooth,android.bluetooth.BluetoothAssignedNumbers,LESSWIRE,9354,,Bluetooth
188,Connection,android.bluetooth,android.bluetooth.BluetoothAssignedNumbers,LG_ELECTRONICS,9354,,Bluetooth
189,Connection,android.bluetooth,android.bluetooth.BluetoothAssignedNumbers,LINAK,9354,,Bluetooth
190,Connection,android.bluetooth,android.bluetooth.BluetoothAssignedNumbers,LUCENT,9354,,Bluetooth
191,Connection,android.bluetooth,android.bluetooth.BluetoothAssignedNumbers,LUDUS_HELSINKI,9354,,Bluetooth
192,Connection,android.bluetooth,android.bluetooth.BluetoothAssignedNumbers,MACRONIX,9354,,Bluetooth
193,Connection,android.bluetooth,android.bluetooth.BluetoothAssignedNumbers,MAGNETI_MARELLI,9354,,Bluetooth
194,Connection,android.bluetooth,android.bluetooth.BluetoothAssignedNumbers,MANSELLA,9354,,Bluetooth
195,Connection,android.bluetooth,android.bluetooth.BluetoothAssignedNumbers,MARVELL,9354,,Bluetooth
196,Connection,android.bluetooth,android.bluetooth.BluetoothAssignedNumbers,MATSUSHITA_ELECTRIC,9354,,Bluetooth
197,Connection,android.bluetooth,android.bluetooth.BluetoothAssignedNumbers,MC10,9354,,Bluetooth
198,Connection,android.bluetooth,android.bluetooth.BluetoothAssignedNumbers,MEDIATEK,9354,,Bluetooth
199,Connection,android.bluetooth,android.bluetooth.BluetoothAssignedNumbers,MESO_INTERNATIONAL,9354,,Bluetooth
200,Connection,android.bluetooth,android.bluetooth.BluetoothAssignedNumbers,META_WATCH,9354,,Bluetooth
